run,Diente,Zona local,neighborhood_radius_mm,candidate_status,patch_stability_status,candidate_reason,preop_sample_count,waxup_vertex_count,before_ray_hit_ratio,after_ray_hit_ratio,hit_ratio_delta,local_icp_p95_mm,local_icp_rotation_deg,local_icp_translation_mm,safe_to_apply_local_transform,clinical_caveat
r6,12,Cervical,6.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",25,1620,1.0,1.0,0.0,1.4086,24.54,9.6506,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,12,Cervical,8.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",26,1620,1.0,0.9615,-0.0385,1.4086,24.54,9.6506,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,12,Cervical,10.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",26,1620,1.0,0.9615,-0.0385,1.4086,24.54,9.6506,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,22,Cervical,6.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",19,1826,0.9474,0.9474,0.0,1.7552,146.1523,6.0689,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,13,Cervical,10.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",30,2748,0.9667,0.9667,0.0,1.8129,19.7389,8.9123,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,13,Cervical,8.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",29,2747,0.9655,0.9655,0.0,1.8267,18.5795,8.5118,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,13,Cervical,6.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",28,2747,0.9643,0.9643,0.0,1.8267,18.5795,8.5118,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,11,Cervical,6.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",15,1909,1.0,0.9333,-0.0667,1.9031,25.9209,5.7995,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,11,Cervical,8.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",15,1909,1.0,0.9333,-0.0667,1.9031,25.9209,5.7995,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,11,Cervical,10.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",15,1909,1.0,0.9333,-0.0667,1.9031,25.9209,5.7995,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,23,Cervical,8.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",28,2356,1.0,1.0,0.0,1.9064,17.2567,5.6672,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,25,Cervical,6.0,reject,reject,"local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm,local_icp_p95_gt_1mm",16,1767,0.0,0.9375,0.9375,1.9577,24.6502,17.1653,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,24,Cervical,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",24,2980,0.3333,0.9583,0.625,2.0257,32.2685,14.3474,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,21,Medio,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_translation_gt_3mm",20,1676,0.45,0.85,0.4,2.0356,5.8074,4.5222,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r8,21,Medio,8.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_translation_gt_3mm",21,1676,0.4286,0.8095,0.381,2.0356,5.8074,4.5222,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,21,Medio,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_translation_gt_3mm",21,1676,0.4286,0.8095,0.381,2.0356,5.8074,4.5222,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,23,Cervical,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",17,2335,1.0,0.8824,-0.1176,2.0467,17.0393,14.0064,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r10,23,Cervical,10.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",33,2521,1.0,0.8788,-0.1212,2.0579,108.8271,31.6502,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
r6,24,Cervical,6.0,reject,reject,"local_icp_p95_gt_2mm,local_icp_rotation_gt_15deg,local_icp_translation_gt_3mm",14,2163,0.2857,0.9286,0.6429,2.077,39.131,17.1178,no,"No habilita uso clinico; falta validacion de registro, unidades, segmentacion y repetibilidad."
